Name of the open-end investment fund	Date of calculation	Valuation date	Last daily sale price per unit	Daily Average sale price per unit	Daily buying price per unit
NLB South-East Europe	11/3/2014	10/31/2014	42.5253	42.5253	42.5253
NLB Global Emerging Markets	11/3/2014	10/31/2014	50.5747	50.5747	50.5747
Innovo Status Balansiran	11/3/2014	10/31/2014	29.2748	29.2748	29.2748
NLB BRIK	11/3/2014	10/31/2014	144.7075	144.7075	144.7075
NLB Amerika	11/3/2014	10/31/2014	114.2845	114.2845	114.2845
KB Invest - Balanced	11/3/2014	10/31/2014	111.5332	111.5332	111.5332
KB Invest - Bonds	11/3/2014	10/31/2014	121.1808	121.1808	121.1808
KB Invest Paricen	11/3/2014	10/31/2014	112.2892	112.2892	112.2892
NLB Cash Deposit	11/3/2014	10/31/2014	108.6095	108.6095	108.6095
NLB Cash Fund	11/3/2014	10/31/2014	1069.9039	1069.9039	1069.9039
NLB Top Brands	11/3/2014	10/31/2014	102.6241	102.6241	102.6241
NLB South-East Europe	10/31/2014	10/30/2014	42.401	42.401	42.401
NLB Global Emerging Markets	10/31/2014	10/30/2014	49.6813	49.6813	49.6813
Innovo Status Balansiran	10/31/2014	10/30/2014	29.2487	29.2487	29.2487
NLB BRIK	10/31/2014	10/30/2014	142.1357	142.1357	142.1357
NLB Amerika	10/31/2014	10/30/2014	114.1277	114.1277	114.1277
KB Invest - Balanced	10/31/2014	10/30/2014	110.7675	110.7675	110.7675
KB Invest - Bonds	10/31/2014	10/30/2014	120.8109	120.8109	120.8109
KB Invest Paricen	10/31/2014	10/30/2014	112.2761	112.2761	112.2761
NLB Cash Deposit	10/31/2014	10/30/2014	108.6	108.6	108.6
NLB Cash Fund	10/31/2014	10/30/2014	1069.7799	1069.7799	1069.7799
NLB Top Brands	10/31/2014	10/30/2014	101.4498	101.4498	101.4498
NLB South-East Europe	10/30/2014	10/29/2014	42.2569	42.2569	42.2569
NLB Global Emerging Markets	10/30/2014	10/29/2014	49.4959	49.4959	49.4959
Innovo Status Balansiran	10/30/2014	10/29/2014	29.3344	29.3344	29.3344
NLB BRIK	10/30/2014	10/29/2014	140.4358	140.4358	140.4358
NLB Amerika	10/30/2014	10/29/2014	113.9204	113.9204	113.9204
KB Invest - Balanced	10/30/2014	10/29/2014	110.4627	110.4627	110.4627
KB Invest - Bonds	10/30/2014	10/29/2014	120.7978	120.7978	120.7978
KB Invest Paricen	10/30/2014	10/29/2014	112.2661	112.2661	112.2661
NLB Cash Deposit	10/30/2014	10/29/2014	108.5906	108.5906	108.5906
NLB Cash Fund	10/30/2014	10/29/2014	1069.6827	1069.6827	1069.6827
NLB Top Brands	10/30/2014	10/29/2014	101.1752	101.1752	101.1752
NLB South-East Europe	10/29/2014	10/28/2014	42.2178	42.2178	42.2178
NLB Global Emerging Markets	10/29/2014	10/28/2014	49.6969	49.6969	49.6969
Innovo Status Balansiran	10/29/2014	10/28/2014	29.3401	29.3401	29.3401
NLB BRIK	10/29/2014	10/28/2014	140.8247	140.8247	140.8247
NLB Amerika	10/29/2014	10/28/2014	114.0005	114.0005	114.0005
KB Invest - Balanced	10/29/2014	10/28/2014	110.5009	110.5009	110.5009
KB Invest - Bonds	10/29/2014	10/28/2014	120.8953	120.8953	120.8953
KB Invest Paricen	10/29/2014	10/28/2014	112.2553	112.2553	112.2553
NLB Cash Deposit	10/29/2014	10/28/2014	108.5812	108.5812	108.5812
NLB Cash Fund	10/29/2014	10/28/2014	1069.5786	1069.5786	1069.5786
NLB Top Brands	10/29/2014	10/28/2014	101.1754	101.1754	101.1754
NLB South-East Europe	10/28/2014	10/27/2014	42.0814	42.0814	42.0814
NLB Global Emerging Markets	10/28/2014	10/27/2014	49.3334	49.3334	49.3334
Innovo Status Balansiran	10/28/2014	10/27/2014	29.3569	29.3569	29.3569
NLB BRIK	10/28/2014	10/27/2014	138.1728	138.1728	138.1728
NLB Amerika	10/28/2014	10/27/2014	113.4718	113.4718	113.4718
KB Invest - Balanced	10/28/2014	10/27/2014	110.3831	110.3831	110.3831
KB Invest - Bonds	10/28/2014	10/27/2014	120.9543	120.9543	120.9543
KB Invest Paricen	10/28/2014	10/27/2014	112.2445	112.2445	112.2445
NLB Cash Deposit	10/28/2014	10/27/2014	108.5719	108.5719	108.5719
NLB Cash Fund	10/28/2014	10/27/2014	1069.4751	1069.4751	1069.4751
NLB Top Brands	10/28/2014	10/27/2014	100.7725	100.7725	100.7725
NLB South-East Europe	10/27/2014	10/26/2014	42.2686	42.2686	42.2686
NLB Global Emerging Markets	10/27/2014	10/26/2014	49.4945	49.4945	49.4945
Innovo Status Balansiran	10/27/2014	10/26/2014	29.3603	29.3603	29.3603
NLB BRIK	10/27/2014	10/26/2014	139.7029	139.7029	139.7029
NLB Amerika	10/27/2014	10/26/2014	113.2025	113.2025	113.2025
KB Invest - Balanced	10/27/2014	10/26/2014	110.5704	110.5704	110.5704
KB Invest - Bonds	10/27/2014	10/26/2014	120.8089	120.8089	120.8089
KB Invest Paricen	10/27/2014	10/26/2014	112.2336	112.2336	112.2336
NLB Cash Deposit	10/27/2014	10/26/2014	108.5625	108.5625	108.5625
NLB Cash Fund	10/27/2014	10/26/2014	1069.372	1069.372	1069.372
NLB Top Brands	10/27/2014	10/26/2014	100.9762	100.9762	100.9762
NLB South-East Europe	10/27/2014	10/25/2014	42.273	42.273	42.273
NLB Global Emerging Markets	10/27/2014	10/25/2014	49.4998	49.4998	49.4998
Innovo Status Balansiran	10/27/2014	10/25/2014	29.3615	29.3615	29.3615
NLB BRIK	10/27/2014	10/25/2014	139.7144	139.7144	139.7144
NLB Amerika	10/27/2014	10/25/2014	113.2124	113.2124	113.2124
KB Invest - Balanced	10/27/2014	10/25/2014	110.5735	110.5735	110.5735
KB Invest - Bonds	10/27/2014	10/25/2014	120.7954	120.7954	120.7954
KB Invest Paricen	10/27/2014	10/25/2014	112.2227	112.2227	112.2227
NLB Cash Deposit	10/27/2014	10/25/2014	108.5532	108.5532	108.5532
NLB Cash Fund	10/27/2014	10/25/2014	1069.2689	1069.2689	1069.2689
NLB Top Brands	10/27/2014	10/25/2014	100.9796	100.9796	100.9796
NLB South-East Europe	10/27/2014	10/24/2014	42.281	42.281	42.281
NLB Global Emerging Markets	10/27/2014	10/24/2014	49.4049	49.4049	49.4049
Innovo Status Balansiran	10/27/2014	10/24/2014	29.3612	29.3612	29.3612
NLB BRIK	10/27/2014	10/24/2014	139.5004	139.5004	139.5004
NLB Amerika	10/27/2014	10/24/2014	113.2209	113.2209	113.2209
KB Invest - Balanced	10/27/2014	10/24/2014	110.5264	110.5264	110.5264
KB Invest - Bonds	10/27/2014	10/24/2014	120.6954	120.6954	120.6954
KB Invest Paricen	10/27/2014	10/24/2014	112.2118	112.2118	112.2118
NLB Cash Deposit	10/27/2014	10/24/2014	108.5439	108.5439	108.5439
NLB Cash Fund	10/27/2014	10/24/2014	1069.1654	1069.1654	1069.1654
NLB Top Brands	10/27/2014	10/24/2014	100.8914	100.8914	100.8914
NLB South-East Europe	10/24/2014	10/23/2014	42.1565	42.1565	42.1565
NLB Global Emerging Markets	10/24/2014	10/23/2014	49.1732	49.1732	49.1732
Innovo Status Balansiran	10/24/2014	10/23/2014	29.2967	29.2967	29.2967
NLB BRIK	10/24/2014	10/23/2014	138.7514	138.7514	138.7514
NLB Amerika	10/24/2014	10/23/2014	113.1617	113.1617	113.1617
KB Invest - Balanced	10/24/2014	10/23/2014	110.2741	110.2741	110.2741
KB Invest - Bonds	10/24/2014	10/23/2014	120.6494	120.6494	120.6494
KB Invest Paricen	10/24/2014	10/23/2014	112.2009	112.2009	112.2009
NLB Cash Deposit	10/24/2014	10/23/2014	108.5346	108.5346	108.5346
NLB Cash Fund	10/24/2014	10/23/2014	1069.0617	1069.0617	1069.0617
NLB Top Brands	10/24/2014	10/23/2014	100.7317	100.7317	100.7317
NLB South-East Europe	10/24/2014	10/22/2014	42.254	42.254	42.254
NLB Global Emerging Markets	10/24/2014	10/22/2014	48.6707	48.6707	48.6707
Innovo Status Balansiran	10/24/2014	10/22/2014	29.2979	29.2979	29.2979
NLB BRIK	10/24/2014	10/22/2014	138.8543	138.8543	138.8543
NLB Amerika	10/24/2014	10/22/2014	113.0872	113.0872	113.0872
KB Invest - Balanced	10/24/2014	10/22/2014	109.9509	109.9509	109.9509
KB Invest - Bonds	10/24/2014	10/22/2014	120.2201	120.2201	120.2201
KB Invest Paricen	10/24/2014	10/22/2014	112.1902	112.1902	112.1902
NLB Cash Deposit	10/24/2014	10/22/2014	108.5253	108.5253	108.5253
NLB Cash Fund	10/24/2014	10/22/2014	1068.9574	1068.9574	1068.9574
