Valuation date,Cumulative Return
2022-03-31,
2022-04-01,-9.300000000000974e-05
2022-04-02,-0.0001860000000001305
2022-04-03,-0.00027900000000014025
2022-04-04,-0.00037100000000012123
2022-04-05,-0.000464000000000242
2022-04-06,0.0060869999999997315
2022-04-07,-0.0020170000000002686
2022-04-08,0.006323999999999774
2022-04-09,0.008396999999999766
2022-04-10,0.008316999999999908
2022-04-11,0.006731999999999738
2022-04-12,-0.00449300000000008
2022-04-13,-0.0014090000000002156
2022-04-14,-0.0014450000000001406
2022-04-15,-0.003972000000000198
2022-04-16,-0.002419000000000282
2022-04-17,-0.0025120000000002918
2022-04-18,0.003501999999999672
2022-04-19,0.012584999999999624
2022-04-20,0.022036999999999418
2022-04-21,0.019958999999999616
2022-04-22,0.003201999999999705
2022-04-23,0.0031089999999998064
2022-04-24,0.003014999999999768
2022-04-25,-0.00710500000000025
2022-04-26,-0.020480000000000276
2022-04-27,-0.021925000000000305
2022-04-28,-0.011165000000000425
2022-04-29,-0.016306000000000487
2022-04-30,-0.01822600000000041
2022-05-01,-0.01831700000000036
2022-05-02,-0.022975000000000412
2022-05-03,-0.005041000000000295
2022-05-04,0.001626999999999601
2022-05-05,-0.019078000000000372
2022-05-06,-0.02882700000000038
2022-05-07,-0.029479000000000366
2022-05-08,-0.02956900000000029
2022-05-09,-0.04854500000000028
2022-05-10,-0.047661000000000064
2022-05-11,-0.04044300000000023
2022-05-13,-0.02283600000000019
2022-05-13,-0.02530700000000008
2022-05-14,-0.02210100000000015
2022-05-15,-0.02219200000000021
2022-05-16,-0.032553000000000276
2022-05-17,-0.017699000000000242
2022-05-18,-0.030285000000000117
2022-05-19,-0.03592500000000021
2022-05-20,-0.034448000000000145
2022-05-21,-0.036210000000000075
2022-05-22,-0.03629900000000019
2022-05-23,-0.010820000000000052
2022-05-24,-0.016783000000000103
2022-05-25,-0.010692000000000146
2022-05-26,0.001198999999999728
2022-05-27,0.007680999999999827
2022-05-28,0.007088999999999901
2022-05-29,0.0069949999999998624
2022-05-30,0.01059499999999991
2022-05-31,0.0028239999999999377
2022-06-01,-0.0010759999999999659
2022-06-02,0.0014580000000001814
2022-06-03,-0.003250999999999782
2022-06-04,-0.004749999999999699
2022-06-05,-0.004841999999999791
2022-06-06,0.0006810000000003757
2022-06-07,0.0014990000000003612
2022-06-08,-0.00790899999999961
2022-06-09,-0.024990999999999652
2022-06-10,-0.05216699999999974
2022-06-11,-0.05225499999999961
2022-06-12,-0.052342999999999695
2022-06-13,-0.0705819999999997
2022-06-14,-0.06389199999999962
2022-06-15,-0.05008099999999949
2022-06-16,-0.07148699999999963
2022-06-17,-0.06511199999999961
2022-06-18,-0.06841499999999956
2022-06-19,-0.06850199999999962
2022-06-20,-0.06183399999999961
2022-06-21,-0.05202099999999965
2022-06-22,-0.0577989999999996
2022-06-23,-0.07754199999999956
2022-06-24,-0.04540299999999953
2022-06-25,-0.04615199999999953
2022-06-26,-0.04624099999999953
2022-06-27,-0.050042999999999505
2022-06-28,-0.05792999999999959
2022-06-29,-0.06529499999999955
2022-06-30,-0.07761199999999957
2022-07-01,-0.0679459999999995
2022-07-02,-0.07053699999999952
2022-07-03,-0.07062399999999946
2022-07-04,-0.06749299999999958
2022-07-05,-0.08417899999999956
2022-07-06,-0.08043399999999956
2022-07-07,-0.05937399999999948
2022-07-08,-0.05564599999999942
2022-07-09,-0.05501599999999929
2022-07-10,-0.055103999999999376
2022-07-11,-0.06403599999999932
2022-07-12,-0.060669999999999225
2022-07-13,-0.06959799999999927
2022-07-14,-0.08595099999999922
2022-07-15,-0.059066999999999203
2022-07-16,-0.06182499999999924
2022-07-17,-0.06191199999999919
2022-07-18,-0.0542369999999992
2022-07-19,-0.035542999999999214
2022-07-20,-0.04080599999999923
2022-07-21,-0.03244999999999931
2022-07-22,-0.03889899999999924
2022-07-23,-0.03737599999999919
2022-07-24,-0.03746599999999911
2022-07-25,-0.029683999999999156
2022-07-26,-0.04884399999999911
2022-07-27,-0.037508999999999126
2022-07-28,-0.03459599999999896
2022-07-29,-0.020552999999999044
2022-07-30,-0.02402799999999905
2022-07-31,-0.024118999999999113
2022-08-01,-0.027793999999998986
2022-08-02,-0.03577799999999898
2022-08-03,-0.02431899999999909
2022-08-04,-0.021696999999999078
2022-08-05,-0.012904999999998834
2022-08-06,-0.015328999999998816
2022-08-07,-0.015434999999998866
2022-08-08,-0.01350399999999885
2022-08-09,-0.012758999999998744
2022-08-10,0.0002320000000011202
2022-08-11,0.011098000000001162
2022-08-12,0.018014000000001085
