Valuation date,Cumulative Return
2024-08-29,
2024-08-30,-0.0015801485339621557
2024-08-31,-0.0016751574648016243
2024-09-01,-0.0017731666776675814
2024-09-02,-0.0009930933507747985
2024-09-03,-0.01438735241112643
2024-09-04,-0.01561546785397816
2024-09-05,-0.02318917978289947
2024-09-06,-0.03893966032807061
2024-09-07,-0.03928869313715455
2024-09-08,-0.03938170187997636
2024-09-09,-0.03320112090536487
2024-09-10,-0.0299628165047513
2024-09-11,-0.016623562614885623
2024-09-12,-0.011666096613081378
2024-09-13,-0.006543615099819156
2024-09-14,-0.010913025824427214
2024-09-15,-0.011005034473240305
2024-09-16,-0.01071200692865093
2024-09-17,-0.015505457513005805
2024-09-18,-0.02152502335219475
2024-09-19,-0.0008650813176434013
2024-09-20,-0.015416449146219313
2024-09-21,-0.016316533754172413
2024-09-22,-0.016403541932941246
2024-09-23,-0.014387352411126209
2024-09-24,-0.00747470262204597
2024-09-25,-0.008472796442865138
2024-09-26,-0.005228491478198594
2024-09-27,-0.0033343134254616436
2024-09-28,-0.0034363230143630297
2024-09-29,-0.003524331287140803
2024-09-30,-0.002902272813644302
2024-10-01,-0.014302344420375257
2024-10-02,-0.006937652139300976
2024-10-03,-0.012514176332575011
2024-10-04,-0.005608527201556801
2024-10-05,-0.005111480479164876
2024-10-06,-0.00519648846991605
